Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
PBEE,0,0,0.00,0,0.00,0.00,0,0
PBND,0,0,0.00,0,0.00,0.00,0,0
PBSM,0,0,0.00,0,0.00,0.00,0,0
PBTP,0,0,0.00,0,0.00,0.00,0,0
PBUS,0,0,0.00,0,0.00,0.00,0,0
PJAN,0,0,0.00,0,0.00,0.00,0,0
PJUN,0,0,0.00,0,0.00,0.00,0,0
PSMG,0,0,0.00,0,0.00,0.00,0,0
REFA,0,0,0.00,0,0.00,0.00,0,0
RGLB,0,0,0.00,0,0.00,0.00,0,0
RODE,0,0,0.00,0,0.00,0.00,0,0
RPUT,0,0,0.00,0,0.00,0.00,0,0
SPMV,0,0,0.00,0,0.00,0.00,0,0
STPP,0,0,0.00,0,0.00,0.00,0,0
TAPR,0,0,0.00,0,0.00,0.00,0,0
TFIV,0,0,0.00,0,0.00,0.00,0,0
TFLT,0,0,0.00,0,0.00,0.00,0,0
TPAY,0,0,0.00,0,0.00,0.00,0,0
TTAI,0,0,0.00,0,0.00,0.00,0,0
UAPR,0,0,0.00,0,0.00,0.00,0,0
UJAN,0,0,0.00,0,0.00,0.00,0,0
UJUN,0,0,0.00,0,0.00,0.00,0,0
USEP,0,0,0.00,0,0.00,0.00,0,0
WFIG,0,0,0.00,0,0.00,0.00,0,0
WIL,0,0,0.00,0,0.00,0.00,0,0
WLDR,0,0,0.00,0,0.00,0.00,0,0
XVZ,0,0,0.00,0,0.00,0.00,0,0
